what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1314835706263
processors,sysinfo,,,"2",1314835706264
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1314835706264
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1314835706264
java.specification.name,sysinfo,,,"Java Platform API Specification",1314835706264
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314835706264
java.specification.version,sysinfo,,,"1.6",1314835706264
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314835706264
java.version,sysinfo,,,"1.6.0_26",1314835706264
java.vm.info,sysinfo,,,"mixed mode, sharing",1314835706264
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1314835706264
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314835706264
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314835706264
java.vm.specification.version,sysinfo,,,"1.0",1314835706264
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314835706264
java.vm.version,sysinfo,,,"20.1-b02",1314835706264
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1314835713051
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1314835713215
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1314835713449
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1314835717980
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1314835722226
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.edit.text.openLocalFile",1314835722434
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1314835726031
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1314835726921
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1314835728015
